us,Red,IR,Ratio,Ambient,drdt,ddrdt,Notes,dRed/dt,dIR/dt,,,dRed/dt*dIR/dt,ddRed/dt^2,d(R*|IR|)/dt,d(R+IR)/dt,dd(R+IR)/dt^2,R+IR
19407887,3073.2,2680.9,1.1463,1093.1,0.04,-0.422,,-0.0002849276476,-0.0003265462927,,,,,,-0.0006212970376,-0.000000001018204061,5754.1
19439123,3064.3,2670.7,1.1474,1091.1,0.033,-0.238,,-0.000249831844,-0.0002978764293,,,,,,-0.0006114739403,0.0000000003145907864,5735
19470344,3056.5,2661.4,1.1484,1088.2,0.035,0.05,,-0.0001890298603,-0.0002627194669,,,,,,-0.0005477082733,0.0000000020414159,5717.9
19501556,3050.6,2653.2,1.1498,1086.2,0.043,0.257,,-0.0001217519464,-0.0002210759027,,,,,,-0.0004517493272,0.000000003073538519,5703.8
19532767,3046.8,2646.3,1.1513,1086.1,0.05,0.247,,-0.00006725164927,-0.0001697303529,,,,,,-0.0003428278492,0.00000000348973081,5693.1
19563993,3044.7,2641,1.1529,1087.8,0.048,-0.059,,-0.00003199078665,-0.00009597235996,,,,,,-0.0002369820022,0.000000003391299445,5685.7
19595252,3043.7,2638,1.1538,1090.1,0.03,-0.591,,-0.000009611995771,0.00000320399859,,,,,,-0.0001279631466,0.000000003491284685,5681.7
19626463,3043.4,2638.1,1.1536,1091.6,-0.005,-1.13,,0.000003203895937,0.0001153402537,,,,,,-0.00000640799718,0.000000003888644852,5681.5
19657675,3043.5,2641.7,1.1521,1091.1,-0.049,-1.389,,0.00002879907843,0.000217593037,,,,,,0.0001185441497,0.000000004003465024,5685.2
19688926,3044.4,2648.5,1.1495,1088.8,-0.084,-1.141,,0.00006731416482,0.0002916947142,,,,,,0.0002463921155,0.000000004096115781,5692.9
19720123,3046.5,2657.6,1.1463,1086,-0.1,-0.512,,0.0001153070049,0.0003235002082,,,,,,0.0003590088791,0.00000000360362112,5704.1
19751344,3050.1,2667.7,1.1434,1084.5,-0.096,0.143,,0.0001569909009,0.0003235934897,,,,,,0.0004388072131,0.000000002557884862,5717.8
