us,Red,IR,Ratio,Ambient,drdt,ddrdt,R+IR,dRed/dt (~7sec),dIR/dt,dRed/dIR,dRed*dIR/dt,dRed/dt*dIR/dt,ddRed/dt^2,d(R*|IR|)/dt,d(R+IR)/dt,dd(R+IR)/dt^2,R+IR,,Notes
305972774,50.6,32.2,1.12942,-0.5,-3.76,-185.853,82.8,0.00003199385718,0.0000895828001,2.8,0.0000895828001,0.000000002866099312,-0.000000004203423962,0.005473509086,0.0001215766573,-0.000000003385404646,82.8,,
306003972,48.1,35,1.3741,-1.5,-6.273,-80.551,83.1,-0.00008013334188,0.00008974934291,-1.12,-0.0002243733573,-0.000000007191914779,-0.000000003587381593,0.001736649785,0.000009616001026,-0.000000003582053246,83.1,,
306035178,43.6,36.4,1.1968,-0.3,-5.682,18.942,80,-0.0001442030379,0.00004486316734,-0.3111111111,-0.000201884253,-0.000000006469405019,-0.000000002053647541,-0.00309107223,-0.00009933987054,-0.000000003492399242,80,,
306066443,38.5,35.4,1.0871,2.6,-3.511,69.435,73.9,-0.0001631217016,-0.00003198464737,0.1960784314,0.0001631217016,0.000000005217390103,-0.0000000006062508398,-0.007169038861,-0.000195106349,-0.000000003068848248,73.9,,
306097654,33.1,30.8,1.0733,5.3,-0.441,98.35,63.9,-0.0001730159239,-0.0001473839352,0.8518518519,0.0007958732498,0.0000000254997677,-0.0000000003164632109,-0.01100317196,-0.000320399859,-0.000000004007468737,63.9,,
306128866,26.8,21.6,1.236,6.2,5.214,181.197,48.4,-0.0002018454441,-0.0002947584262,1.46031746,0.001856978085,0.00000005949564544,-0.0000000009236974204,-0.0141163655,-0.0004966038703,-0.000000005645574037,48.4,,
306160038,18.3,7.2,1.42602,4.3,41.732,1171.51,25.5,-0.0002726806108,-0.0004619530348,1.694117647,0.003926600796,0.0000001259656357,-0.00000000226948503,-0.01434364173,-0.0007346336456,-0.0000000076262263,25.5,,
306222562,-8.4,-34.9,0.97468,-3.1,24.862,3939.805,-43.3,-0.0004270360182,-0.0006733414369,1.576779026,0.01797821636,0.0000002875410461,-0.00000000495173256,-0.006796110294,-0.001100377455,-0.00000001173308769,-43.3,,
306253759,-25.3,-58.3,1.04314,-5.1,6.2,-598.218,-83.6,-0.000541718755,-0.0007500721223,1.384615385,0.01267621887,0.0000004063281363,-0.000000001834219449,-0.03788280924,-0.001291790877,-0.000000003061439164,-83.6,,
306284975,-42.6,-80,1.0954,-4.6,3.16,-97.378,-122.6,-0.0005542029728,-0.0006951563301,1.25433526,0.01202620451,0.0000003852577047,-0.000000000400173665,-0.06192369298,-0.001249359303,0.00000000136011714,-122.6,,
306316191,-58.8,-97.5,1.10934,-2.3,2.233,-29.677,-156.3,-0.0005189646335,-0.0005606099436,1.080246914,0.009081881087,0.0000002909367339,0.000000001128855052,-0.07448103537,-0.001079574577,0.000000005439028888,-156.3,,
306347443,-72.5,-109.4,1.12138,0.2,1.924,-9.899,-181.9,-0.0004383719442,-0.0003807756304,0.8686131387,0.005216626136,0.0000001669213534,0.00000000258177503,-0.07034749776,-0.0008191475746,0.000000008342740985,-181.9,,
306378654,-82.8,-115.4,1.13238,1.3,1.763,-5.168,-198.2,-0.0003300118548,-0.0001922399154,0.5825242718,0.001980071129,0.00000006344145105,0.000000003467300954,-0.05202076191,-0.0005222517702,0.000000009500057735,-198.2,,
306409866,-88.7,-116,1.14174,0.3,1.499,-8.451,-204.7,-0.0001890298603,-0.00001922337562,0.1016949153,0.0001134179162,0.000000003633792009,0.000000004517061116,-0.0235191593,-0.0002082532359,0.00000001006050861,-204.7,,
306441085,-90.2,-113,1.14842,-2,1.072,-13.69,-203.2,-0.00004804766328,0.00009609532656,-2,-0.0001441429898,-0.000000004617155894,0.000000004516922883,0.003094269515,0.00004804766328,0.000000008211614098,-203.2,,
306472337,-88.2,-107.9,0.8172,-4.1,0.611,-14.733,-196.1,0.00006399590426,0.0001631895559,2.55,0.0003263791117,0.00000001044346319,0.000000003588954404,0.02162485601,0.0002271854601,0.000000005738101696,-196.1,,
306503562,-84.6,-102,0.829,-4.6,0.378,-7.474,-186.6,0.0001152922338,0.0001889511609,1.638888889,0.0006802241793,0.00000002178460142,0.000000001641377497,0.02842530024,0.0003042433947,0.000000002465696102,-186.6,,
306534760,-81.1,-95.7,0.8479,-3,0.606,7.309,-176.8,0.0001121866786,0.0002019360215,1.8,0.0007067760754,0.00000002265453155,0,0.02782005257,0.0003141227002,0.0000000003163908873,-176.8,,
306565972,-79,-88.7,0.8901,-0.2,1.352,23.91,-167.7,0.00006728181469,0.0002242727156,3.333333333,0.0004709727028,0.00000001508947529,-0.000000001439350726,0.0241564142,0.0002915545303,-0.0000000007233851485,-167.7,,
306597231,-78.2,-80.9,0.9658,2.5,2.423,34.27,-159.1,0.00002559262932,0.0002495281359,9.75,0.0001996225087,0.000000006386081088,-0.000000001335678116,0.02178316645,0.0002751207652,-0.0000000005265207321,-159.1,,
